qid,full_question,subid,subquestion
Problemfour,"The value V(S, t) of an exotic option on an underlying asset with price S at time t satisfies the Black–Scholes PDE:
∂V/∂t + rS ∂V/∂S + (1/2)σ²S² ∂²V/∂S² = rV
for 0 < S < ∞ and 0 < t < T. We assume r and σ are known positive constants.

Consider pricing an exotic option with barrier B, strike price 0 < X < B and expiry T. If at any time t ∈ [0, T] the price S hits B, the option is exercised for payout B−X. Otherwise, it can only be exercised at t = T for right to buy at X.
i) Carefully explain what the 'initial' conditions are for this problem.
ii) Carefully explain what the boundary conditions are for this problem.
iii) Set up a grid (S_j, t_ℓ) = (jΔS, ℓΔt) for j = 0,...,n+1 and ℓ = 0,...,m, where ΔS = B/(n+1), Δt = T/m. Let v_j^ℓ ≈ V(S_j, t_ℓ).
a) A) At time t_ℓ and value S_j, give central difference approximations of O(ΔS²) for partial derivatives ∂V/∂S and ∂²V/∂S².
    B) Give a forward difference approximation of O(Δt) for ∂V/∂t.
b) We want to use an implicit finite difference method to approximate v_j^ℓ.
   A) Show that the finite difference equation has the form: α_j v_{j−1}^ℓ + β_j v_j^ℓ + γ_j v_{j+1}^ℓ = v_j^{ℓ+1}, and find α_j, β_j, γ_j.
   B) What are the discrete “initial” conditions?
   C) What are the discrete boundary conditions?
iv) Equation (4) has the form: A v^ℓ + b = v^{ℓ+1}, where v^ℓ = (v_1^ℓ, ..., v_n^ℓ)^T and b = (0, ..., 0, γ_n(B − X))^T.
 a) Define the entries a_{i,j} of matrix A = (a_{i,j}). What structure does A have?
 b) Is the matrix A sparse? Calculate its sparsity.
 c) How can the structure of the matrix A be exploited to make timestepping as efficient as possible?
 d)Provide an estimation of the number of flops needed to compute the vector v^5.",4iiibB,What are the discrete “initial” conditions?
Problemfour,"The value V(S, t) of an exotic option on an underlying asset with price S at time t satisfies the Black–Scholes PDE:
∂V/∂t + rS ∂V/∂S + (1/2)σ²S² ∂²V/∂S² = rV
for 0 < S < ∞ and 0 < t < T. We assume r and σ are known positive constants.

Consider pricing an exotic option with barrier B, strike price 0 < X < B and expiry T. If at any time t ∈ [0, T] the price S hits B, the option is exercised for payout B−X. Otherwise, it can only be exercised at t = T for right to buy at X.
i) Carefully explain what the 'initial' conditions are for this problem.
ii) Carefully explain what the boundary conditions are for this problem.
iii) Set up a grid (S_j, t_ℓ) = (jΔS, ℓΔt) for j = 0,...,n+1 and ℓ = 0,...,m, where ΔS = B/(n+1), Δt = T/m. Let v_j^ℓ ≈ V(S_j, t_ℓ).
a) A) At time t_ℓ and value S_j, give central difference approximations of O(ΔS²) for partial derivatives ∂V/∂S and ∂²V/∂S².
    B) Give a forward difference approximation of O(Δt) for ∂V/∂t.
b) We want to use an implicit finite difference method to approximate v_j^ℓ.
   A) Show that the finite difference equation has the form: α_j v_{j−1}^ℓ + β_j v_j^ℓ + γ_j v_{j+1}^ℓ = v_j^{ℓ+1}, and find α_j, β_j, γ_j.
   B) What are the discrete “initial” conditions?
   C) What are the discrete boundary conditions?
iv) Equation (4) has the form: A v^ℓ + b = v^{ℓ+1}, where v^ℓ = (v_1^ℓ, ..., v_n^ℓ)^T and b = (0, ..., 0, γ_n(B − X))^T.
 a) Define the entries a_{i,j} of matrix A = (a_{i,j}). What structure does A have?
 b) Is the matrix A sparse? Calculate its sparsity.
 c) How can the structure of the matrix A be exploited to make timestepping as efficient as possible?
 d)Provide an estimation of the number of flops needed to compute the vector v^6.",4iiibC,What are the discrete boundary conditions?
Problemfour,"The value V(S, t) of an exotic option on an underlying asset with price S at time t satisfies the Black–Scholes PDE:
∂V/∂t + rS ∂V/∂S + (1/2)σ²S² ∂²V/∂S² = rV
for 0 < S < ∞ and 0 < t < T. We assume r and σ are known positive constants.

Consider pricing an exotic option with barrier B, strike price 0 < X < B and expiry T. If at any time t ∈ [0, T] the price S hits B, the option is exercised for payout B−X. Otherwise, it can only be exercised at t = T for right to buy at X.
i) Carefully explain what the 'initial' conditions are for this problem.
ii) Carefully explain what the boundary conditions are for this problem.
iii) Set up a grid (S_j, t_ℓ) = (jΔS, ℓΔt) for j = 0,...,n+1 and ℓ = 0,...,m, where ΔS = B/(n+1), Δt = T/m. Let v_j^ℓ ≈ V(S_j, t_ℓ).
a) A) At time t_ℓ and value S_j, give central difference approximations of O(ΔS²) for partial derivatives ∂V/∂S and ∂²V/∂S².
    B) Give a forward difference approximation of O(Δt) for ∂V/∂t.
b) We want to use an implicit finite difference method to approximate v_j^ℓ.
   A) Show that the finite difference equation has the form: α_j v_{j−1}^ℓ + β_j v_j^ℓ + γ_j v_{j+1}^ℓ = v_j^{ℓ+1}, and find α_j, β_j, γ_j.
   B) What are the discrete “initial” conditions?
   C) What are the discrete boundary conditions?
iv) Equation (4) has the form: A v^ℓ + b = v^{ℓ+1}, where v^ℓ = (v_1^ℓ, ..., v_n^ℓ)^T and b = (0, ..., 0, γ_n(B − X))^T.
 a) Define the entries a_{i,j} of matrix A = (a_{i,j}). What structure does A have?
 b) Is the matrix A sparse? Calculate its sparsity.
 c) How can the structure of the matrix A be exploited to make timestepping as efficient as possible?
 d)Provide an estimation of the number of flops needed to compute the vector v^7.",4iva,"Define the entries a_{i,j} of matrix A = (a_{i,j}). What structure does A have?"
Problemfour,"The value V(S, t) of an exotic option on an underlying asset with price S at time t satisfies the Black–Scholes PDE:
∂V/∂t + rS ∂V/∂S + (1/2)σ²S² ∂²V/∂S² = rV
for 0 < S < ∞ and 0 < t < T. We assume r and σ are known positive constants.

Consider pricing an exotic option with barrier B, strike price 0 < X < B and expiry T. If at any time t ∈ [0, T] the price S hits B, the option is exercised for payout B−X. Otherwise, it can only be exercised at t = T for right to buy at X.
i) Carefully explain what the 'initial' conditions are for this problem.
ii) Carefully explain what the boundary conditions are for this problem.
iii) Set up a grid (S_j, t_ℓ) = (jΔS, ℓΔt) for j = 0,...,n+1 and ℓ = 0,...,m, where ΔS = B/(n+1), Δt = T/m. Let v_j^ℓ ≈ V(S_j, t_ℓ).
a) A) At time t_ℓ and value S_j, give central difference approximations of O(ΔS²) for partial derivatives ∂V/∂S and ∂²V/∂S².
    B) Give a forward difference approximation of O(Δt) for ∂V/∂t.
b) We want to use an implicit finite difference method to approximate v_j^ℓ.
   A) Show that the finite difference equation has the form: α_j v_{j−1}^ℓ + β_j v_j^ℓ + γ_j v_{j+1}^ℓ = v_j^{ℓ+1}, and find α_j, β_j, γ_j.
   B) What are the discrete “initial” conditions?
   C) What are the discrete boundary conditions?
iv) Equation (4) has the form: A v^ℓ + b = v^{ℓ+1}, where v^ℓ = (v_1^ℓ, ..., v_n^ℓ)^T and b = (0, ..., 0, γ_n(B − X))^T.
 a) Define the entries a_{i,j} of matrix A = (a_{i,j}). What structure does A have?
 b) Is the matrix A sparse? Calculate its sparsity.
 c) How can the structure of the matrix A be exploited to make timestepping as efficient as possible?
 d)Provide an estimation of the number of flops needed to compute the vector v^8.",4ivb,Is the matrix A sparse? Calculate its sparsity.
Problemfour,"The value V(S, t) of an exotic option on an underlying asset with price S at time t satisfies the Black–Scholes PDE:
∂V/∂t + rS ∂V/∂S + (1/2)σ²S² ∂²V/∂S² = rV
for 0 < S < ∞ and 0 < t < T. We assume r and σ are known positive constants.

Consider pricing an exotic option with barrier B, strike price 0 < X < B and expiry T. If at any time t ∈ [0, T] the price S hits B, the option is exercised for payout B−X. Otherwise, it can only be exercised at t = T for right to buy at X.
i) Carefully explain what the 'initial' conditions are for this problem.
ii) Carefully explain what the boundary conditions are for this problem.
iii) Set up a grid (S_j, t_ℓ) = (jΔS, ℓΔt) for j = 0,...,n+1 and ℓ = 0,...,m, where ΔS = B/(n+1), Δt = T/m. Let v_j^ℓ ≈ V(S_j, t_ℓ).
a) A) At time t_ℓ and value S_j, give central difference approximations of O(ΔS²) for partial derivatives ∂V/∂S and ∂²V/∂S².
    B) Give a forward difference approximation of O(Δt) for ∂V/∂t.
b) We want to use an implicit finite difference method to approximate v_j^ℓ.
   A) Show that the finite difference equation has the form: α_j v_{j−1}^ℓ + β_j v_j^ℓ + γ_j v_{j+1}^ℓ = v_j^{ℓ+1}, and find α_j, β_j, γ_j.
   B) What are the discrete “initial” conditions?
   C) What are the discrete boundary conditions?
iv) Equation (4) has the form: A v^ℓ + b = v^{ℓ+1}, where v^ℓ = (v_1^ℓ, ..., v_n^ℓ)^T and b = (0, ..., 0, γ_n(B − X))^T.
 a) Define the entries a_{i,j} of matrix A = (a_{i,j}). What structure does A have?
 b) Is the matrix A sparse? Calculate its sparsity.
 c) How can the structure of the matrix A be exploited to make timestepping as efficient as possible?
 d)Provide an estimation of the number of flops needed to compute the vector v^9.",4ivc,How can the structure of the matrix A be exploited to make timestepping as efficient as possible?
Problemfour,"The value V(S, t) of an exotic option on an underlying asset with price S at time t satisfies the Black–Scholes PDE:
∂V/∂t + rS ∂V/∂S + (1/2)σ²S² ∂²V/∂S² = rV
for 0 < S < ∞ and 0 < t < T. We assume r and σ are known positive constants.

Consider pricing an exotic option with barrier B, strike price 0 < X < B and expiry T. If at any time t ∈ [0, T] the price S hits B, the option is exercised for payout B−X. Otherwise, it can only be exercised at t = T for right to buy at X.
i) Carefully explain what the 'initial' conditions are for this problem.
ii) Carefully explain what the boundary conditions are for this problem.
iii) Set up a grid (S_j, t_ℓ) = (jΔS, ℓΔt) for j = 0,...,n+1 and ℓ = 0,...,m, where ΔS = B/(n+1), Δt = T/m. Let v_j^ℓ ≈ V(S_j, t_ℓ).
a) A) At time t_ℓ and value S_j, give central difference approximations of O(ΔS²) for partial derivatives ∂V/∂S and ∂²V/∂S².
    B) Give a forward difference approximation of O(Δt) for ∂V/∂t.
b) We want to use an implicit finite difference method to approximate v_j^ℓ.
   A) Show that the finite difference equation has the form: α_j v_{j−1}^ℓ + β_j v_j^ℓ + γ_j v_{j+1}^ℓ = v_j^{ℓ+1}, and find α_j, β_j, γ_j.
   B) What are the discrete “initial” conditions?
   C) What are the discrete boundary conditions?
iv) Equation (4) has the form: A v^ℓ + b = v^{ℓ+1}, where v^ℓ = (v_1^ℓ, ..., v_n^ℓ)^T and b = (0, ..., 0, γ_n(B − X))^T.
 a) Define the entries a_{i,j} of matrix A = (a_{i,j}). What structure does A have?
 b) Is the matrix A sparse? Calculate its sparsity.
 c) How can the structure of the matrix A be exploited to make timestepping as efficient as possible?
 d)Provide an estimation of the number of flops needed to compute the vector v^10.",4ivd,Provide an estimation of the number of flops needed to compute the vector v^0.
Problemone,"Determine whether the following function h on the region Ω₀ is convex, strictly convex, concave, strictly concave, or neither.
h(x₁, x₂) = x₁² / x₂,  where  Ω₀ = { (x₁, x₂) ∈ ℝ²  |  x₂ > 0 }",,"Determine whether the following function h on the region Ω₀ is convex, strictly convex, concave, strictly concave, or neither.
h(x₁, x₂) = x₁² / x₂,  where  Ω₀ = { (x₁, x₂) ∈ ℝ²  |  x₂ > 0 }"
Problemtwo,"Consider the problem of optimizing the function
f(x) = x₁⁴ + 2x₂⁴ + 2x₁²x₂² − 2x₁² − 4x₂² + 2
on ℝ². The gradient and Hessian of f are given respectively by
∇f(x) = 4 ( x₁(x₁² + x₂² − 1),  x₂(x₁² + 2x₂² − 2) )ᵀ,
∇²f(x) = 4 × [ [3x₁² + x₂² − 1, 2x₁x₂]; [2x₁x₂, x₁² + 6x₂² − 2] ]
i) Find the five stationary points of f on R^2.
ii) Identify, as far as possible using Hessian information, the five stationary points of f as (strict) local minimizers, (strict) local maximizers or saddle points, etc.
iii) Does the function f have a global maximizer on R^2? Give reasons for your answer.",i,i) Find the five stationary points of f on R^2.
Problemtwo,"Consider the problem of optimizing the function
f(x) = x₁⁴ + 2x₂⁴ + 2x₁²x₂² − 2x₁² − 4x₂² + 2
on ℝ². The gradient and Hessian of f are given respectively by
∇f(x) = 4 ( x₁(x₁² + x₂² − 1),  x₂(x₁² + 2x₂² − 2) )ᵀ,
∇²f(x) = 4 × [ [3x₁² + x₂² − 1, 2x₁x₂]; [2x₁x₂, x₁² + 6x₂² − 2] ]
i) Find the five stationary points of f on R^2.
ii) Identify, as far as possible using Hessian information, the five stationary points of f as (strict) local minimizers, (strict) local maximizers or saddle points, etc.
iii) Does the function f have a global maximizer on R^3? Give reasons for your answer.",ii,"ii) Identify, as far as possible using Hessian information, the five stationary points of f as (strict) local minimizers, (strict) local maximizers or saddle points, etc."
Problemtwo,"Consider the problem of optimizing the function
f(x) = x₁⁴ + 2x₂⁴ + 2x₁²x₂² − 2x₁² − 4x₂² + 2
on ℝ². The gradient and Hessian of f are given respectively by
∇f(x) = 4 ( x₁(x₁² + x₂² − 1),  x₂(x₁² + 2x₂² − 2) )ᵀ,
∇²f(x) = 4 × [ [3x₁² + x₂² − 1, 2x₁x₂]; [2x₁x₂, x₁² + 6x₂² − 2] ]
i) Find the five stationary points of f on R^2.
ii) Identify, as far as possible using Hessian information, the five stationary points of f as (strict) local minimizers, (strict) local maximizers or saddle points, etc.
iii) Does the function f have a global maximizer on R^4? Give reasons for your answer.",iii,iii) Does the function f have a global maximizer on R^2? Give reasons for your answer.
Problemthree,"Let A be a real (n × n) square matrix. Let a_ii and a_jj be the iᵗʰ and jᵗʰ diagonal elements of A respectively, where i, j ∈ {1, ..., n} and i ≠ j.
Using the definition of an indefinite matrix, show that if a_ii a_jj < 0, then A is indefinite.",,"Let A be a real (n × n) square matrix. Let a_ii and a_jj be the iᵗʰ and jᵗʰ diagonal elements of A respectively, where i, j ∈ {1, ..., n} and i ≠ j.
Using the definition of an indefinite matrix, show that if a_ii a_jj < 0, then A is indefinite."
Problemfour,"Let C be an m × n matrix, d ∈ ℝᵐ, a ∈ ℝⁿ and r ∈ ℝ. Show that
Ω = { x ∈ ℝⁿ :  ‖Cx − d‖ ≤ aᵀx + r }
is a convex set for any norm ‖·‖ on ℝᵐ.
State any properties of a norm that you use.",,"Let C be an m × n matrix, d ∈ ℝᵐ, a ∈ ℝⁿ and r ∈ ℝ. Show that
Ω = { x ∈ ℝⁿ :  ‖Cx − d‖ ≤ aᵀx + r }
is a convex set for any norm ‖·‖ on ℝᵐ.
State any properties of a norm that you use."
Problemone,"Consider applying the basic Newton method to minimise the function
h(x₁, x₂) = x₁² + x₂² − x₁x₂ + 3x₂ − 1 on ℝ²,
starting from the point x^(1) = (1, 1)ᵀ.

(i) Calculate the Newton direction s^(1) for h at x^(1).
(ii) Is the Newton direction s^(1) a descent direction for h at x^(1)? Give reasons.
(iii) Find the next Newton iterate x^(2).
(iv) Show that x^(2) is the unique global minimiser for h.",i,(i) Calculate the Newton direction s^(1) for h at x^(1).
Problemone,"Consider applying the basic Newton method to minimise the function
h(x₁, x₂) = x₁² + x₂² − x₁x₂ + 3x₂ − 1 on ℝ²,
starting from the point x^(1) = (1, 1)ᵀ.

(i) Calculate the Newton direction s^(1) for h at x^(1).
(ii) Is the Newton direction s^(1) a descent direction for h at x^(1)? Give reasons.
(iii) Find the next Newton iterate x^(2).
(iv) Show that x^(3) is the unique global minimiser for h.",ii,(ii) Is the Newton direction s^(1) a descent direction for h at x^(1)? Give reasons.
Problemone,"Consider applying the basic Newton method to minimise the function
h(x₁, x₂) = x₁² + x₂² − x₁x₂ + 3x₂ − 1 on ℝ²,
starting from the point x^(1) = (1, 1)ᵀ.

(i) Calculate the Newton direction s^(1) for h at x^(1).
(ii) Is the Newton direction s^(1) a descent direction for h at x^(1)? Give reasons.
(iii) Find the next Newton iterate x^(2).
(iv) Show that x^(4) is the unique global minimiser for h.",iii,(iii) Find the next Newton iterate x^(2).
